"article_key","test_text","p_value","p_comp","section","start","end","one_previous"
"40_44_8501","= 3.2367, p = 0.0048486*
A-TEO   ","0.0048486","=","4","2331","2344"," "
"40_44_8501","= 4.2661, p = 0.0027387*         ","0.0027387","=","4","2415","2428"," "
"40_44_8501"," 0.50002, p = 0.63052          ","0.63052","=","4","2473","2484"," "
"40_44_8501","= 2.8185, p = 0.022546*
*Signifi","0.022546","=","4","2533","2545"," "
"40_44_8501","ncreases (p , 0.05, Bonferro","0.05",",","4","2571","2579","("
"40_44_8501","a
cantly (p , 0.001) driven b","0.001",",","4","2778","2787","("
"40_44_8501"," t tests (p , 0.05).
anatomi","0.05",",","4","6769","6777","("
"40_44_8501","t test. **p , 0.05 (Bonferro","0.05",",","5","5410","5418","*"
"40_44_8501","risons). *p , 0.05 (not corr","0.05",",","5","5512","5520","*"
"40_44_8501","as set at p , 0.001, uncorrec","0.001",",","5","9831","9840"," "
"40_44_8501"," 0.45739, p = 0.65823          ","0.65823","=","6","516","527"," "
"40_44_8501"," 0.75881, p = 0.46738          ","0.46738","=","6","554","565"," "
"40_44_8501"," 0.45465, p = 0.66013
K-TEs    ","0.66013","=","6","609","620"," "
"40_44_8501"," 0.95054, p = 0.37854          ","0.37854","=","6","689","700"," "
"40_44_8501","= 2.0211, p = 0.089765          ","0.089765","=","6","726","738"," "
"40_44_8501","= 4.6928, p = 0.0033511*
S-TEp   ","0.0033511","=","6","781","794"," "
"40_44_8501"," 0.71021, p = 0.49012          ","0.49012","=","6","865","876"," "
"40_44_8501"," 0.76222, p = 0.45954          ","0.45954","=","6","903","914"," "
"40_44_8501"," 0.48944, p = 0.63269
S-TEp    ","0.63269","=","6","958","969"," "
"40_44_8501"," 0.27141, p = 0.79517          ","0.79517","=","6","1038","1049"," "
"40_44_8501"," 0.82012, p = 0.4435          ","0.4435","=","6","1076","1086"," "
"40_44_8501","= 1.4375, p = 0.2006
A-TEp    ","0.2006","=","6","1130","1140"," "
"40_44_8501"," 0.33321, p = 0.74472          ","0.74472","=","6","1210","1221"," "
"40_44_8501"," 0.99048, p = 0.34149          ","0.34149","=","6","1248","1259"," "
"40_44_8501"," 11.9691, p = 4.977e-08*
S-TEO   ","4.977e-08","=","6","1303","1316"," "
"40_44_8501","= 2.0359, p = 0.056751          ","0.056751","=","6","1386","1398"," "
"40_44_8501","= 4.2639, p = 0.00046703*         ","0.00046703","=","6","1424","1438"," "
"40_44_8501"," 0.42274, p = 0.67749
M-TEO    ","0.67749","=","6","1480","1491"," "
"40_44_8501","= 2.3064, p = 0.033949          ","0.033949","=","6","1560","1572"," "
"40_44_8501","= 3.2892, p = 0.00433          ","0.00433","=","6","1598","1609"," "
"40_44_8501"," = 9.001, p = 7.0748e-08*
K-TEO   ","7.0748e-08","=","6","1652","1666"," "
"40_44_8501"," 0.22475, p = 0.8278          ","0.8278","=","6","1736","1746"," "
"40_44_8501","= 2.0332, p = 0.076479          ","0.076479","=","6","1773","1785"," "
"40_44_8501","= 2.2169, p = 0.05746

        ","0.05746","=","6","1828","1839"," "
"40_44_8501"," 0.20823, p = 0.83968          ","0.83968","=","6","2059","2070"," "
"40_44_8501","= 3.1825, p = 0.011139          ","0.011139","=","6","2096","2108"," "
"40_44_8501"," 0.42507, p = 0.68077
K-TEs    ","0.68077","=","6","2152","2163"," "
"40_44_8501","= 9.4212, p = 8.1288e-05*        t","8.1288e-05","=","6","2231","2245"," "
"40_44_8501","= 8.6647, p = 0.00013033*         ","0.00013033","=","6","2269","2283"," "
"40_44_8501","= 9.9157, p = 6.0784e-05*
S-TEp   ","6.0784e-05","=","6","2324","2338"," "
"40_44_8501","= 8.3475, p = 1.3995e-06*       t(","1.3995e-06","=","6","2408","2422"," "
"40_44_8501","= 8.0417, p = 2.1123e-06*         ","2.1123e-06","=","6","2446","2460"," "
"40_44_8501"," 10.4501, p = 1.077e-07*
S-TEp   ","1.077e-07","=","6","2502","2515"," "
"40_44_8501"," 10.3867, p = 4.6632e-05*       t(","4.6632e-05","=","6","2585","2599"," "
"40_44_8501"," = 8.941, p = 0.00010925*         ","0.00010925","=","6","2621","2635"," "
"40_44_8501","= 2.1936, p = 0.070727
A-TEp    ","0.070727","=","6","2677","2689"," "
"40_44_8501"," 10.7218, p = 1.6781e-07*      t(1","1.6781e-07","=","6","2759","2773"," "
"40_44_8501","= 9.2758, p = 8.0185e-07*         ","8.0185e-07","=","6","2796","2810"," "
"40_44_8501","= 4.9859, p = 0.00031671*
S-TEO   ","0.00031671","=","6","2851","2865"," "
"40_44_8501","= 12.118, p = 4.3102e-10*       t(","4.3102e-10","=","6","2935","2949"," "
"40_44_8501","= 8.8426, p = 5.7232e-08*         ","5.7232e-08","=","6","2973","2987"," "
"40_44_8501","= 8.1252, p = 1.9632e-07*
M-TEO   ","1.9632e-07","=","6","3028","3042"," "
"40_44_8501","= 28.976, p = 6.5221e-16*       t(","6.5221e-16","=","6","3112","3126"," "
"40_44_8501"," 16.9896, p = 4.2253e-12*         ","4.2253e-12","=","6","3151","3165"," "
"40_44_8501","= 2.3021, p = 0.034242
K-TEO    ","0.034242","=","6","3205","3217"," "
"40_44_8501","= 1.6896, p = 0.12958          ","0.12958","=","6","3285","3296"," "
"40_44_8501"," 0.81666, p = 0.43776          ","0.43776","=","6","3324","3335"," "
"40_44_8501","= 1.1775, p = 0.27285

        ","0.27285","=","6","3378","3389"," "
"40_44_8501"," 0.86178, p = 0.41118        t(","0.41118","=","6","3610","3621"," "
"40_44_8501"," 0.48678, p = 0.63805          ","0.63805","=","6","3645","3656"," "
"40_44_8501"," 0.85594, p = 0.41424
K-TEs    ","0.41424","=","6","3700","3711"," "
"40_44_8501","  8.7048, p = 0.000127*       t(","0.000127","=","6","3782","3794"," "
"40_44_8501","= 4.3566, p = 0.0047881          ","0.0047881","=","6","3817","3830"," "
"40_44_8501","= 1.0596, p = 0.33009
S-TEp    ","0.33009","=","6","3872","3883"," "
"40_44_8501","  4.1943, p = 0.0010507*     t(13","0.0010507","=","6","3955","3968"," "
"40_44_8501","= 4.9696, p = 0.00025636*         ","0.00025636","=","6","3990","4004"," "
"40_44_8501","= 3.7148, p = 0.0025959*
S-TEp   ","0.0025959","=","6","4045","4058"," "
"40_44_8501","  5.9146, p = 0.0010397*      t(6","0.0010397","=","6","4130","4143"," "
"40_44_8501","= 4.5961, p = 0.003707*         ","0.003707","=","6","4165","4177"," "
"40_44_8501"," 0.62291, p = 0.55626
A-TEp    ","0.55626","=","6","4221","4232"," "
"40_44_8501","0.059186, p = 0.95378      t(12","0.95378","=","6","4306","4317"," "
"40_44_8501","= 1.8069, p = 0.095894          ","0.095894","=","6","4339","4351"," "
"40_44_8501","= 6.6084, p = 2.5069e-05*
S-TEO   ","2.5069e-05","=","6","4394","4408"," "
"40_44_8501","  7.1319, p = 1.2084e-06*    t(18)","1.2084e-06","=","6","4481","4495"," "
"40_44_8501","= 3.0168, p = 0.0074094          ","0.0074094","=","6","4516","4529"," "
"40_44_8501"," = 5.285, p = 5.0306e-05*
M-TEO   ","5.0306e-05","=","6","4570","4584"," "
"40_44_8501","  1.9838, p = 0.063663       t(1","0.063663","=","6","4657","4669"," "
"40_44_8501","= 2.7027, p = 0.015091          ","0.015091","=","6","4692","4704"," "
"40_44_8501","= 4.3873, p = 0.00040203*
K-TEO   ","0.00040203","=","6","4747","4761"," "
"40_44_8501"," 0.29784, p = 0.77341        t(","0.77341","=","6","4834","4845"," "
"40_44_8501"," 0.72827, p = 0.48722          ","0.48722","=","6","4869","4880"," "
"40_44_8501"," 0.96894, p = 0.36095

        ","0.36095","=","6","4924","4935"," "
"40_44_8501"," 0.96481, p = 0.35984          ","0.35984","=","6","5154","5165"," "
"40_44_8501"," 0.24807, p = 0.80964          ","0.80964","=","6","5192","5203"," "
"40_44_8501"," 0.28157, p = 0.78464
K-TEs    ","0.78464","=","6","5247","5258"," "
"40_44_8501","= 12.987, p = 1.2834e-05*        t","1.2834e-05","=","6","5326","5340"," "
"40_44_8501","= 8.5055, p = 0.00014461*         ","0.00014461","=","6","5364","5378"," "
"40_44_8501","= 6.3653, p = 0.00070581*
S-TEp   ","0.00070581","=","6","5419","5433"," "
"40_44_8501","= 6.2166, p = 3.1347e-05*       t(","3.1347e-05","=","6","5503","5517"," "
"40_44_8501","= 1.3582, p = 0.19751          ","0.19751","=","6","5541","5552"," "
"40_44_8501","= 1.2439, p = 0.23552
S-TEp    ","0.23552","=","6","5596","5607"," "
"40_44_8501","= 8.4671, p = 0.00014832*        t","0.00014832","=","6","5675","5689"," "
"40_44_8501","= 1.5979, p = 0.16118          ","0.16118","=","6","5713","5724"," "
"40_44_8501","= 4.4693, p = 0.0042407
A-TEp    ","0.0042407","=","6","5768","5781"," "
"40_44_8501"," 18.4051, p = 3.6718e-10*      t(1","3.6718e-10","=","6","5851","5865"," "
"40_44_8501"," 19.3362, p = 2.0677e-10*         ","2.0677e-10","=","6","5889","5903"," "
"40_44_8501","2) = 4.7, p = 0.00051428*
S-TEO   ","0.00051428","=","6","5940","5954"," "
"40_44_8501"," 16.1523, p = 3.7133e-12*      t(1","3.7133e-12","=","6","6025","6039"," "
"40_44_8501"," 10.4012, p = 4.859e-09*         ","4.859e-09","=","6","6063","6076"," "
"40_44_8501","= 9.9134, p = 1.0208e-08*
M-TEO   ","1.0208e-08","=","6","6117","6131"," "
"40_44_8501","= 22.176, p = 5.4987e-14*       t(","5.4987e-14","=","6","6201","6215"," "
"40_44_8501","= 10.043, p = 1.4539e-08*         ","1.4539e-08","=","6","6239","6253"," "
"40_44_8501"," 17.1221, p = 3.7285e-12*
K-TEO   ","3.7285e-12","=","6","6295","6309"," "
"40_44_8501"," 0.22986, p = 0.82397          ","0.82397","=","6","6379","6390"," "
"40_44_8501"," 0.10498, p = 0.91898          ","0.91898","=","6","6417","6428"," "
"40_44_8501","= 5.9419, p = 0.00034508*
*Signifi","0.00034508","=","6","6471","6485"," "
"40_44_8501","increase (p , 0.05, Bonferro","0.05",",","6","6510","6518","("
"40_44_8501","ixation], p , 0.001,
in parie","0.001",",","6","7868","7877"," "
"40_44_8501"," t tests, p , 0.05, Bonferro","0.05",",","6","9555","9563"," "
"40_44_8501","ctivated (p , 0.001, uncorrec","0.001",",","6","9854","9863","("
"40_44_8501","ispheres; p , 0.001, uncor-
r","0.001",",","7","374","383"," "
"40_44_8501","vs no EM; p , 0.001, uncorrec","0.001",",","7","831","840"," "
"40_44_8501"," top row; p , 0.001, uncorrec","0.001",",","7","1072","1081"," "
"40_44_8501","M-induced
p , 0.001, uncorrec","0.001",",","7","1553","1562","
"
"40_44_8501","vated (at p , 0.001, uncorrec","0.001",",","8","365","374"," "
"40_44_8501"," t tests, p , 0.05, Bonferro","0.05",",","8","727","735"," "
"40_44_8501","  rected, p , 0.05). Error b","0.05",",","8","1262","1270"," "
"40_44_8501","; t test, p , 0.05, for stat","0.05",",","8","2952","2960"," "
"40_44_8501","parisons, p , 0.05; for stat","0.05",",","8","3164","3172"," "
"40_44_8501"," top row; p , 0.001, uncorrec","0.001",",","8","3820","3829"," "
"40_44_8501","ttom row; p , 0.001,
TEO elic","0.001",",","8","4141","4150"," "
"40_44_8501"," t tests, p , 0.05, Bonferro","0.05",",","8","4814","4822"," "
"40_44_8501","ivations (p , 0.001, uncorrec","0.001",",","8","5819","5828","("
"40_44_8501"," animals (p , 0.001, uncorrec","0.001",",","9","345","354","("
"40_44_8501","vs no EM; p , 0.001, uncorrec","0.001",",","9","800","809"," "
"40_44_8501","  rected, p , 0.05). Error b","0.05",",","10","1353","1361"," "
"40_44_8501","us no-EM (p , 0.001, uncorrec","0.001",",","11","354","363","("
"40_44_8501","us no-EM (p , 0.001, uncorrec","0.001",",","11","514","523","("
"40_44_8513","= 2.0789, p = 0.0922, paired t","0.0922","=","8","1239","1249"," "
"40_44_8513","= 2.0789, p = 0.0922, two-tail","0.0922","=","9","2730","2740"," "
"40_44_8513","ifferent (p = 0.002, Wilcoxon","0.002","=","11","1868","1877","("
"40_44_8513","trials). *p , 0.05. Blue bar","0.05",",","11","1923","1931","*"
"40_44_8513","r layers (p = 0.002, Wilcoxon","0.002","=","11","3349","3358","("
"40_44_8530",") = 8.37, p = 4.74 * 10 5; A","4.74","=","2","7091","7099"," "
"40_44_8530","    8.81, p = 4.74 * 10 5; V","4.74","=","2","7255","7263"," "
"40_44_8530",") = 3.44, p = 0.0088 [p values","0.0088","=","2","7288","7298"," "
"40_44_8530","z = 49.5, p , 2.22e 16). F,
A","2.22",",","5","1321","1330"," "
"40_44_8530","          p = 0.0123), whereas","0.0123","=","7","3510","3520"," "
"40_44_8530","          p = 0.9628) or for t","0.9628","=","7","6420","6430"," "
"40_44_8530","z = 1.24, p = 0.11, permutat","0.11","=","8","7994","8002"," "
"40_44_8530","= 0.8403, p = 0.4087) or low-f","0.4087","=","8","9576","9586"," "
"40_44_8530","= 0.2581, p = 0.7983). We also","0.7983","=","8","9732","9742"," "
"40_44_8530","-
1.0000, p = 0.3466; AV: t(8)","0.3466","=","8","10050","10060"," "
"40_44_8530","= 0.2294, p = 0.8243; V: t(8) ","0.8243","=","8","10081","10091"," "
"40_44_8530"," audiovi-
p = 0.1012). This su","0.1012","=","8","10209","10219","
"
"40_44_8543","Values of p , 0.05 were cons","0.05",",","3","8986","8994"," "
"40_44_8543","m, t test p = 0.036; basal, W","0.036","=","4","1500","1509"," "
"40_44_8543","m, t test p = 0.92). Sholl a","0.92","=","4","1571","1579"," "
"40_44_8543","ns.
7.87, p = 0.0084; Fig. 2B]","0.0084","=","4","2593","2603"," "
"40_44_8543"," 0.00072, p = 0.98; Fig. 2B)","0.98","=","4","2737","2745"," "
"40_44_8543","    test, p = 0.0026; amplitud","0.0026","=","4","3281","3291"," "
"40_44_8543",", t test, p = 0.42; WT: n = ","0.42","=","4","3312","3320"," "
"40_44_8543","s
= 4.79, p = 0.036; basal: F","0.036","=","4","3347","3356"," "
"40_44_8543","= 0.0091, p = 0.92; Fig. 2C)","0.92","=","4","3383","3391"," "
"40_44_8543",") = 7.87, p = 0.0084, basal de","0.0084","=","5","680","690"," "
"40_44_8543"," 0.00072, p = 0.98, apical
d","0.98","=","5","741","749"," "
"40_44_8543",") = 4.79, p = 0.036, basal de","0.036","=","5","792","801"," "
"40_44_8543","= 0.0091, p = 0.92; WT: n = ","0.92","=","5","844","852"," "
"40_44_8543","n 6 SEM; *p , 0.05, **p , 0.","0.05",",","5","961","969","*"
"40_44_8543",", 0.05, **p , 0.01. n.s., no","0.01",",","5","973","981","*"
"40_44_8543","     test p = 0.44; Fig. 3E,","0.44","=","5","1111","1119"," "
"40_44_8543","ther than
p = 0.99; WT: n = ","0.99","=","5","1336","1344","
"
"40_44_8543","ney test, p = 0.66; am-
cell","0.66","=","5","3202","3210"," "
"40_44_8543","          p = 0.47; Fig. 3G,","0.47","=","5","3479","3487"," "
"40_44_8543","tney test p = 0.17; secondar","0.17","=","5","3519","3527"," "
"40_44_8543",") = 7.56,
p = 0.0075; interact","0.0075","=","6","530","540","
"
"40_44_8543",") = 6.36,
p , 0.0001; Fig. 4A–","1e-04",",","6","574","584","
"
"40_44_8543","; t test, p = 0.98; Fig. 4D)","0.98","=","6","749","757"," "
"40_44_8543","ney test, p = 0.18; Fig. 4E)","0.18","=","6","876","884"," "
"40_44_8543","ney test, p =
0.013; Fig. 4F)","0.013","=","6","1010","1019"," "
"40_44_8543","tney test p =
0.74; non-firs","0.74","=","6","1304","1312"," "
"40_44_8543","V, t test p =
0.89), but AP ","0.89","=","6","1384","1392"," "
"40_44_8543","tney test p =
0.024; non-firs","0.024","=","6","1502","1511"," "
"40_44_8543","V, t test p =
0.005). AP half","0.005","=","6","1583","1592"," "
"40_44_8543","tney test p = 0.16; non-firs","0.16","=","6","1802","1810"," "
"40_44_8543","tney test
p = 0.012; Fig. 4G,","0.012","=","6","1895","1904","
"
"40_44_8543","ney test, p = 0.0026; ampli-
f","0.0026","=","6","2436","2446"," "
"40_44_8543",": t test, p = 0.42, WT: n = ","0.42","=","6","2509","2517"," "
"40_44_8543"," = 0.028, p = 0.87; interac-","0.87","=","6","2805","2813"," "
"40_44_8543",") = 0.22, p = 0.99; Fig. 4I)","0.99","=","6","2974","2982"," "
"40_44_8543"," 0.00021, p = 0.99. n.s., no","0.99","=","6","3229","3237"," "
"40_44_8543","ney test, p = 0.66, amplitud","0.66","=","6","4284","4292"," "
"40_44_8543","ipitation p = 0.47. Througho","0.47","=","6","4349","4357"," "
"40_44_8543",") = 7.56, p = 0.0075; #p , 0.0","0.0075","=","7","607","617"," "
"40_44_8543"," 0.0075; #p , 0.05, Sidak’s ","0.05",",","7","620","628","#"
"40_44_8543","ney test, p = 0.013. G, Repre","0.013","=","7","828","837"," "
"40_44_8543","ney test, p = 0.024; ##t test","0.024","=","7","984","993"," "
"40_44_8543","##t test, p = 0.005. H, Same ","0.005","=","7","1005","1014"," "
"40_44_8543","ney test, p = 0.012. I, Mean ","0.012","=","7","1127","1136"," "
"40_44_8543"," = 0.028, p = 0.87). n.s., n","0.87","=","7","1463","1471"," "
"40_44_8543",") = 0.16, p = 0.67; Fig. 5A–","0.67","=","7","2113","2121"," "
"40_44_8543"," = 0.028, p = 0.87; Fig. 5D–","0.87","=","7","2213","2221"," "
"40_44_8543",") = 0.16, p = 0.67. D, Activ","0.67","=","8","2384","2392"," "
"40_44_8543"," = 0.028, p = 0.87.
the extr","0.87","=","8","3491","3499"," "
"40_44_8543","          p = 0.020; Fig. 7E,","0.02","=","8","4349","4358"," "
"40_44_8543"," = 10.50, p = 0.0025; Sidak’s ","0.0025","=","8","5157","5167"," "
"40_44_8543","        1
p , 0.05 at 100 pA","0.05",",","8","5302","5310","
"
"40_44_8543",") = 4.27, p = 0.045; Fig. 8A–","0.045","=","8","5418","5427"," "
"40_44_8543","ney test, p = 0.0037).
Layer V","0.0037","=","8","6853","6863"," "
"40_44_8543","    1.84, p = 0.18; Fig. 8F)","0.18","=","8","7651","7659"," "
"40_44_8543","ns.
11.1, p = 0.0017; interact","0.0017","=","8","7976","7986"," "
"40_44_8543"," = 2.847; p , 0.0001; Fig.    ","1e-04",",","8","8021","8031"," "
"40_44_8543",") = 0.81, p = 0.37; interact","0.37","=","9","865","873"," "
"40_44_8543"," = 1.653, p = 0.023; Fig. 9A,","0.023","=","9","1038","1047"," "
"40_44_8543","= 0.0003, p = 0.99; interact","0.99","=","9","2787","2795"," "
"40_44_8543"," = 2.727, p , 0.0001; Fig. 9C,","1e-04",",","9","2962","2972"," "
"40_44_8543"," = 10.50, p = 0.0025; #p , 0.0","0.0025","=","9","3325","3335"," "
"40_44_8543"," 0.0025; #p , 0.05, Sidak’s ","0.05",",","9","3338","3346","#"
"40_44_8543","= 0.0008, p = 0.98; interac-","0.98","=","9","6354","6362"," "
"40_44_8543",") = 0.77; p = 0.78; Fig. 9E,","0.78","=","9","6530","6538"," "
"40_44_8543",") = 11.1, p = 0.0017. E, Repre","0.0017","=","9","10998","11008"," "
"40_44_8543","ney test, p = 0.020; bars rep","0.02","=","9","11313","11322"," "
"40_44_8543",") = 4.27, p = 0.045. D, Mean ","0.045","=","10","1796","1805"," "
"40_44_8543","F = 11.3, p = 0.0016. Note tha","0.0016","=","10","2083","2093"," "
"40_44_8543","ney test, p = 0.0037. F, Mean ","0.0037","=","10","2625","2635"," "
"40_44_8543",") = 1.84, p = 0.18. n.s., no","0.18","=","10","2947","2955"," "
"40_44_8543",") = 0.81, p = 0.37. C, Sampl","0.37","=","11","5670","5678"," "
"40_44_8543","= 0.0003, p = 0.99.    as sp","0.99","=","11","6274","6282"," "
"40_44_8543","= 0.0008, p = 0.98. n.s., no","0.98","=","11","6831","6839"," "
"40_44_8556"," columns. p = 0.041 between 2","0.041","=","4","1581","1590"," "
"40_44_8556",". n = 10. p = 0.024, 0.043, a","0.024","=","4","2562","2571"," "
"40_44_8556","le 1-1).
*p = 0.00045, 0.0035, ","0.00045","=","4","2806","2817","*"
"40_44_8556","lations. *p = 0.0012 between 2","0.0012","=","6","786","796","*"
"40_44_8556","t 8 kHz. #p = 2.0  105 be","2","=","6","832","839","#"
"40_44_8556","16 kHz. @ p = 0.001 between 1","0.001","=","6","884","893"," "
"40_44_8556","0) = 968, p = 0.0009. n = 21 O","9e-04","=","6","2013","2023"," "
"40_44_8556"," = 56.7, *p = 6.0  105 co","6","=","7","1255","1262","*"
"40_44_8556",") = 187, *p = 1.0  1035 c","1","=","7","1375","1382","*"
"40_44_8556","ch age). *p = 1.8  105, 0","1.8","=","8","855","862","*"
"40_44_8556","ectively. p = 1.5  107, 0","1.5","=","8","934","941"," "
"40_44_8556","ach age. *p = 0.0037, 0.0053 c","0.0037","=","8","1485","1495","*"
"40_44_8556","ectively. p = 0.012, 0.020 co","0.012","=","8","1560","1569"," "
"40_44_8556"," = 28.7, *p = 1.4  108 co","1.4","=","9","1241","1248","*"
"40_44_8556","ochleae. #p = 1.5  104 co","1.5","=","9","1357","1364","#"
"40_44_8556",") = 2.23, p = 0.12,
n = 16 (","0.12","=","9","1480","1488"," "
"40_44_8556","and max. *p = 0.0040, 0.0035, ","0.004","=","10","1057","1067","*"
"40_44_8556","ach age. *p = 0.0097, 0.011, 2","0.0097","=","11","2530","2540","*"
"40_44_8556","ctively. #p = 0.0074, 0.014, a","0.0074","=","11","2640","2650","#"
"40_44_8556","ach age. *p = 0.0024, 0.0051, ","0.0024","=","11","3251","3261","*"
"40_44_8556","ctively. #p = 7.5  104, 9","7.5","=","11","3344","3351","#"
"40_44_8556"," x 2 test p = 1.1  105, 0","1.1","=","11","7833","7840"," "
"40_44_8556","
months. *p = 0.020, 0.0053, ","0.02","=","13","1503","1512","*"
"40_44_8573","          p , 0.05, FDR corr","0.05",",","4","4230","4238"," "
"40_44_8573","as set at p , 0.05, FDR
Biol","0.05",",","4","6423","6431"," "
"40_44_8573","eshold of p , 0.001 and a fal","0.001",",","4","9135","9144"," "
"40_44_8573","eshold of p , 0.05 were used","0.05",",","4","9239","9247"," "
"40_44_8573","n cohort, p , 0.05.
b
  Sign","0.05",",","5","2648","2656"," "
"40_44_8573","n cohort, p , 0.05.
c
  Sign","0.05",",","5","2741","2749"," "
"40_44_8573","I cohort, p , 0.05.
* Data u","0.05",",","5","2807","2815"," "
"40_44_8573","as set at p , 0.001, the p va","0.001",",","5","3728","3737"," "
"40_44_8573","as set at p , 0.001, the p va","0.001",",","6","1084","1093"," "
"40_44_8573",") = 6.36, p = 0.042), amyloid","0.042","=","6","1400","1409"," "
"40_44_8573",") = 33.2, p , 0.001), Braak s","0.001",",","6","1543","1552"," "
"40_44_8573","    17.1, p , 0.001), and Bra","0.001",",","6","1697","1706"," "
"40_44_8573","          p , 0.001) were sig","0.001",",","6","1855","1864"," "
"40_44_8573","patients (p = 0.003); MoCA sc","0.003","=","6","2208","2217","("
"40_44_8573",") = 15.0, p , 0.001),        ","0.001",",","6","2288","2297"," "
"40_44_8573",") = 4.04, p = 0.046), older a","0.046","=","6","2418","2427"," "
"40_44_8573","         (p , 0.001) and AD p","0.001",",","6","2483","2492","("
"40_44_8573","patients (p , 0.001), and wer","0.001",",","6","2511","2520","("
"40_44_8573"," in
10.2, p = 0.002), and hig","0.002","=","6","2548","2557"," "
"40_44_8573","patients (p = 0.002); and amy","0.002","=","6","2673","2682","("
"40_44_8573","d amyloid
p = 0.015).        ","0.015","=","6","2697","2706","
"
"40_44_8573",") = 17.6,
p , 0.001), Braak s","0.001",",","6","3209","3218","
"
"40_44_8573",") = 11.0, p = 0.04),        ","0.04","=","6","3263","3271"," "
"40_44_8573",") = 8.77, p = 0.012), and fre","0.012","=","6","3391","3400"," "
"40_44_8573",") = 8.90, p = 0.012) were sig","0.012","=","6","3510","3519"," "
"40_44_8573","N groups (p , 0.001,         ","0.001",",","6","3998","4007","("
"40_44_8573","r frontal
p = 0.003, p = 0.01","0.003","=","6","4115","4124","
"
"40_44_8573"," = 0.003, p = 0.012) and MCI-","0.012","=","6","4126","4135"," "
"40_44_8573","k groups (p = 0.019, p =     ","0.019","=","6","4158","4167","("
"40_44_8573",").
0.014, p = 0.017), lower M","0.017","=","6","4269","4278"," "
"40_44_8573","icipants (p = 0.029), and low","0.029","=","6","4446","4455","("
"40_44_8573","patients (p = 0.003). Within ","0.003","=","6","4622","4631","("
"40_44_8573"," = 0.642, p = 0.040), MTG/STG","0.04","=","6","4882","4891"," "
"40_44_8573","STG
12.7, p = 0.002), MoCA ( ","0.002","=","6","4908","4917"," "
"40_44_8573",") = 48.7, p , 0.001), FTP    ","0.001",",","6","4942","4951"," "
"40_44_8573"," = 0.592, p = 0.040), and MTG","0.04","=","6","5014","5023"," "
"40_44_8573"," = 0.578, p = 0.040) regions.","0.04","=","6","5046","5055"," "
"40_44_8573","as set at p , 0.001, the p va","0.001",",","11","831","840"," "
"40_44_8587","), micro-
p , 0.05. Pathway ","0.05",",","3","8911","8919","
"
"40_44_8587","ltered at p , 0.05. Transcri","0.05",",","3","9238","9246"," "
"40_44_8587","xis (4 h, p = 0.5263; 24 h, p ","0.5263","=","4","10001","10011"," "
"40_44_8587","63; 24 h, p = 0.0092; 72 h, p ","0.0092","=","4","10019","10029"," "
"40_44_8587","92; 72 h, p = 0.0002). The dis","2e-04","=","4","10037","10047"," "
"40_44_8587","profiles (p = 0.0158) found in","0.0158","=","4","10528","10538","("
"40_44_8587","hin (4 h, p = 0.3415; 24 h, p ","0.3415","=","4","10820","10830"," "
"40_44_8587","15; 24 h, p = 0.0067; 72 h, p ","0.0067","=","4","10838","10848"," "
"40_44_8587","67; 72 h, p = 0.0003). The    ","3e-04","=","4","10856","10866"," "
"40_44_8587"," control (p = 0.0145). Middle-","0.0145","=","4","10908","10918","("
"40_44_8587"," animals (p = 0.0002). D, Heat","2e-04","=","6","847","857","("
"40_44_8587","in (24 h, p = 0.0358; 72 h, p ","0.0358","=","8","1134","1144"," "
"40_44_8587","58; 72 h, p = 0.0303). D, CD45","0.0303","=","8","1152","1162"," "
"40_44_8587","ox (24 h, p = 0.6208; 72 h, p ","0.6208","=","8","1263","1273"," "
"40_44_8587","08; 72 h, p = 0.6619). Each do","0.6619","=","8","1281","1291"," "
"40_44_8587","ide 1 mM, p = 0.8983; indapami","0.8983","=","9","597","607"," "
"40_44_8587","de 10 mM, p = 0.9954; indapami","0.9954","=","9","627","637"," "
"40_44_8587","de 20 mM, p = 0.003; indapami","0.003","=","9","657","666"," "
"40_44_8587","de 40 mM, p = 0.0021; indapami","0.0021","=","9","686","696"," "
"40_44_8587","nditions (p = 0.1425). Numbers","0.1425","=","9","807","817","("
"40_44_8587","nditions
(p = 0.8592). E, Perc","0.8592","=","9","934","944","("
"40_44_8587","ide 1 mM,
p = 0.9584; indapami","0.9584","=","9","1114","1124","
"
"40_44_8587","de 10 mM, p =0.9201; indapami","0.9201","=","9","1144","1153"," "
"40_44_8587","de 40 mM, p = 0.5824; indapami","0.5824","=","9","1200","1210"," "
"40_44_8587","de 80 mM, p = 0.0010). One-way","0.001","=","9","1230","1240"," "
"40_44_8587","ltures. **p ,
0.01, ***p , 0","0.01",",","9","1842","1850","*"
"40_44_8587","
0.01, ***p , 0.001, ****p , ","0.001",",","9","1855","1864","*"
"40_44_8587",".001, ****p , 0.0001. n.s., no","1e-04",",","9","1870","1880","*"
"40_44_8587","reatment (p = 0.2000). C, E, G","0.2","=","10","3225","3235","("
"40_43_8214","of Sel1L (p = 0.0002) and Hrd1","2e-04","=","3","6320","6330","("
"40_43_8214","and Hrd1 (p = 0.0212)
Scientif","0.0212","=","3","6342","6352","("
"40_43_8214","cate SD. *p , 0.05. n.s. not","0.05",",","4","2177","2185","*"
